CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
STOLEN VEHICLE,12/15/2020 09:00:00 AM,20-061645,VEHICLE THEFT - AUTO,02Y,1700 GOSS ST,Oakland,CA,
BURG - AUTO,01/09/2021 01:35:00 PM,21-900524,BURGLARY-AUTO,13Z,8800 SKYLINE BLVD,Oakland,CA,
BURG - AUTO,02/19/2021 07:00:00 PM,21-902315,BURGLARY-AUTO,12Y,5300 TELEGRAPH AV,Oakland,CA,
VANDALISM,01/31/2021 03:39:00 PM,21-004896,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,27Y,1700 SEMINARY AV,Oakland,CA,
FELONY ASSAULT,01/24/2021 04:09:00 AM,21-003653,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,06X,600 SYCAMORE ST,Oakland,CA,
,02/26/2021 05:20:00 PM,21-009206,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,27X,1600 HIGH STREET,Oakland,CA,
WEAPONS,12/13/2020 10:26:00 PM,20-061103,CARRY CONCEALED WEAPON WITH SPECIFIC CONVICTION,28X,FLEMING AV & MONTICELLO AV,Oakland,CA,
FORGERY & COUNTERFEITING,12/25/2020 04:50:00 PM,20-921357,FORGERY,29X,3800 DELMONT AV,Oakland,CA,
PETTY THEFT,11/10/2020 01:35:00 PM,20-920035,THEFT,20X,3000 E 9TH ST,Oakland,CA,
HOMICIDE,01/26/2021 08:00:00 AM,21-003969,SC UNEXPLAINED DEATH,19X,100 E 12TH ST,Oakland,CA,
FELONY ASSAULT,01/01/2021 12:15:00 AM,21-000042,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,35X,9700 ELMVIEW DR,Oakland,CA,
BURG - AUTO,01/25/2021 02:09:00 PM,21-901242,BURGLARY-AUTO,13Z,2000 MOUNTAIN BLVD,Oakland,CA,
VANDALISM,02/13/2021 11:15:00 PM,21-902115,VANDALISM,17X,1900 6TH AV,Oakland,CA,
STOLEN VEHICLE,02/17/2021 05:30:00 PM,21-007986,VEHICLE THEFT - AUTO,25X,3800 BUELL ST,Oakland,CA,
BURG - AUTO,01/02/2021 12:00:00 PM,21-900083,BURGLARY-AUTO,22Y,9800 SKYLINE BLVD,Oakland,CA,
FELONY ASSAULT,01/12/2021 09:21:00 PM,21-001957,ASSAULT WITH FIREARM ON PERSON,34X,90TH AV & INTERNATIONAL BLVD,Oakland,CA,
MISDEMEANOR ASSAULT,12/26/2020 01:34:00 AM,20-063019,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,27X,5200 FOOTHILL BLVD,Oakland,CA,
HOMICIDE,02/13/2021 02:30:00 PM,21-007208,SC UNEXPLAINED DEATH,22X,3700 FRUITVALE AV,Oakland,CA,
FELONY ASSAULT,01/17/2021 08:28:00 PM,21-002693,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,02Y,1600 10TH ST,Oakland,CA,
,02/26/2021 12:52:00 PM,21-009193,ASSAULT WITH FIREARM ON PERSON,99X,00,Oakland,CA,
WEAPONS,12/07/2020 05:43:00 PM,20-060043,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,26Y,1100 79TH AV,Oakland,CA,
NARCOTICS,12/28/2020 12:02:00 PM,20-063371,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,08X,400 W GRAND AV,Oakland,CA,
DOMESTIC VIOLENCE,12/12/2020 12:16:00 PM,20-060878,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,07X,800 MILTON ST,Oakland,CA,
WEAPONS,02/10/2021 07:07:00 PM,21-006636,BATTERY,23X,3800 INTERNATIONAL BLVD,Oakland,CA,
MISDEMEANOR ASSAULT,12/13/2020 02:35:00 AM,20-060975,BATTERY,14X,500 EL EMBARCADERO,Oakland,CA,
DISORDERLY CONDUCT,02/04/2021 07:05:00 AM,21-005731,DISTURB THE PEACE,22Y,3500 SANBORN DR,Oakland,CA,
VANDALISM,01/13/2021 05:18:00 PM,21-002100,BATTERY,30Y,7200 BANCROFT AV,Oakland,CA,
DISORDERLY CONDUCT,02/14/2021 10:18:00 AM,21-007214,DISTURB THE PEACE,02Y,1800 14TH ST,Oakland,CA,
HOMICIDE,12/24/2020 04:40:00 PM,20-063724,SC UNEXPLAINED DEATH,29X,6100 FOOTHILL BLVD,Oakland,CA,
BURG - AUTO,11/27/2020 06:10:00 PM,20-919936,BURGLARY-AUTO,12X,300 40TH ST,Oakland,CA,
DISORDERLY CONDUCT,12/01/2020 05:35:00 AM,20-058834,DISTURB THE PEACE,21X,2800 GARDEN ST,Oakland,CA,
PETTY THEFT,12/07/2020 09:45:00 AM,20-920384,THEFT,26Y,6800 HAWLEY ST,Oakland,CA,
WEAPONS,12/27/2020 12:22:00 AM,20-063169,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,34X,9600 INTERNATIONAL BLVD,Oakland,CA,
STOLEN VEHICLE,01/28/2021 07:30:00 PM,21-004443,VEHICLE THEFT - AUTO,19X,1700 EMBARCADERO,Oakland,CA,
ROBBERY,12/05/2020 03:30:00 PM,20-059731,BATTERY W/SERIOUS BODILY INJURY,10Y,4500 MARKET ST,Oakland,CA,
MISDEMEANOR ASSAULT,01/15/2021 09:30:00 AM,21-002366,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,04X,600 22ND ST,Oakland,CA,
WEAPONS,12/04/2020 05:53:00 PM,20-059483,CARRY LOADED HANDGUN: NOT REG OWNER,99X,15000 E14TH ST,Oakland,CA,
,02/24/2021 10:45:00 AM,21-008842,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,19X,100 E 12TH ST,Oakland,CA,
THREATS,02/21/2021 05:49:00 AM,21-008267,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30Y,8000 IRIS ST,Oakland,CA,
GRAND THEFT,01/11/2021 11:10:00 PM,21-900563,GRAND THEFT,29X,3800 NAIROBI PL,Oakland,CA,
BURG - COMMERCIAL,11/27/2020 03:00:00 PM,21-900259,BURGLARY-NO FORCE,20X,1000 29TH AV,Oakland,CA,
WEAPONS,11/30/2020 12:40:00 AM,20-058636,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,26Y,76TH AV & RUDSDALE ST,Oakland,CA,
STOLEN VEHICLE,12/26/2020 02:04:00 AM,20-063025,VEHICLE THEFT - AUTO,11X,6300 DOVER ST,Oakland,CA,
OTHER,12/01/2020 09:19:00 AM,20-920157,MAIL/ETC THEFT/ETC,77X,PO BOX 2233,Oakland,CA,
MISDEMEANOR ASSAULT,12/31/2020 03:00:00 PM,20-063853,BATTERY,19X,2100 INTERNATIONAL BLVD,Oakland,CA,
FELONY ASSAULT,02/16/2021 06:50:00 PM,21-007586,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,35X,9700 STEARNS AV,Oakland,CA,
PETTY THEFT,01/07/2021 05:45:00 PM,21-900731,THEFT,20X,3000 E 9TH ST,Oakland,CA,
GRAND THEFT,02/02/2021 12:00:00 PM,21-901838,THEFT BY USE OF ACCESS CARD,03X,12TH ST & BROADWAY,Oakland,CA,
FORGERY & COUNTERFEITING,01/18/2021 04:05:00 AM,21-901022,FORGERY,12X,400 48TH ST,Oakland,CA,
THREATS,01/27/2021 05:00:00 AM,21-004267,EXHIBIT FIREARM,14Y,700 JEAN ST,Oakland,CA,
STOLEN VEHICLE,02/02/2021 07:00:00 PM,21-005326,VEHICLE THEFT - AUTO,27X,1600 46TH AV,Oakland,CA,
STOLEN VEHICLE,10/27/2020 12:00:00 AM,21-004185,SC STOLEN VEHICLE - AUTO,27Y,1600 51ST AV,Oakland,CA,
FORGERY & COUNTERFEITING,01/09/2020 12:00:00 AM,20-059992,FALSE CHECKS/REC/CERT/ETC,26Y,7200 SPENCER ST,Oakland,CA,
DOMESTIC VIOLENCE,01/03/2021 08:39:00 PM,21-000412,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,15X,2900 PARK BLVD,Oakland,CA,
DOMESTIC VIOLENCE,02/03/2021 01:00:00 AM,21-005371,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,20X,1600 FRUITVALE AV,Oakland,CA,
ROBBERY,01/14/2021 09:30:00 PM,21-002288,ROBBERY-FIREARM,35X,9400 PEACH ST,Oakland,CA,
STOLEN VEHICLE,02/20/2021 06:00:00 AM,21-008314,VEHICLE THEFT - AUTO,28X,2900 RAWSON ST,Oakland,CA,
GRAND THEFT,12/24/2020 08:20:00 AM,20-062806,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,32Y,1900 99TH AV,Oakland,CA,
DOMESTIC VIOLENCE,01/21/2021 03:17:00 PM,21-003256,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,6500 FENHAM ST,Oakland,CA,
FORGERY & COUNTERFEITING,12/01/2020 12:00:00 AM,21-006230,OBT CREDIT/ETC:OTHER'S ID,01X,300 4TH ST,Oakland,CA,
STOLEN VEHICLE,02/09/2021 08:00:00 PM,21-006579,VEHICLE THEFT - AUTO,35X,9300 PEACH ST,Oakland,CA,
BURG - AUTO,02/15/2021 12:40:00 PM,21-902134,BURGLARY-AUTO,14X,500 GRAND AV,Oakland,CA,
BURG - AUTO,01/24/2021 02:00:00 PM,21-901175,BURGLARY-AUTO,77X,EULICH & GRAND,Oakland,CA,
,02/22/2021 10:40:00 AM,21-008487,SC UNEXPLAINED DEATH,33X,1300 81ST AV,Oakland,CA,
FELONY ASSAULT,12/18/2020 11:43:00 PM,20-061902,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,19X,1700 E 12TH ST,Oakland,CA,
STOLEN VEHICLE,02/01/2021 12:00:00 AM,21-901623,ATTEMPT VEHICLE THEFT-AUTO,77X,6900 LION @ 69TH AVE WAY,Oakland,CA,
DISORDERLY CONDUCT,12/17/2020 09:36:00 PM,20-061801,DISTURB THE PEACE,26Y,1300 63RD AV,Oakland,CA,
PETTY THEFT,12/01/2020 05:00:00 PM,20-059288,THEFT,08X,300 OAKLAND AV,Oakland,CA,
DOMESTIC VIOLENCE,01/24/2021 11:45:00 PM,21-003634,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,04X,600 21ST ST,Oakland,CA,
MISCELLANEOUS TRAFFIC CRIME,11/29/2020 08:55:00 PM,20-058595,DUI ALCOHOL/0.08 PERCENT,27Y,6200 INTERNATIONAL BLVD,Oakland,CA,
DOMESTIC VIOLENCE,02/02/2021 04:08:00 PM,21-005239,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,06X,36TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,
DOMESTIC VIOLENCE,02/05/2021 12:02:00 AM,21-005664,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,26Y,1300 76TH AV,Oakland,CA,
BURG - AUTO,01/16/2021 12:30:00 PM,21-900861,BURGLARY-AUTO,14X,300 BELLEVUE AV,Oakland,CA,
WEAPONS,01/01/2021 04:00:00 AM,21-000034,CARRY CONCEALED WEAPON IN VEHICLE,21Y,3100 ASHBROOK CT,Oakland,CA,
ROBBERY,01/09/2021 06:41:00 PM,21-001462,ROBBERY-FIREARM,12Y,7100 CHABOT RD,Oakland,CA,
VANDALISM,11/27/2020 12:30:00 AM,20-919953,VANDALISM,19X,1500 5TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,02/12/2021 01:27:00 PM,21-007003,BATTERY,32Y,9800 MACARTHUR BLVD,Oakland,CA,
ARSON,08/01/2020 12:00:00 AM,20-059088,BATTERY W/SERIOUS BODILY INJURY,04X,300 14TH ST,Oakland,CA,
DISORDERLY CONDUCT,12/20/2020 07:00:00 PM,20-062326,DISTURB THE PEACE,30X,1800 74TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,02/01/2021 04:10:00 PM,21-005055,BATTERY,07X,1000 32ND ST,Oakland,CA,
RECOVERED O/S STOLEN,01/30/2021 09:00:00 AM,21-004655,VEHICLE THEFT - AUTO,23X,600 HIGH ST,Oakland,CA,
WEAPONS,12/31/2020 10:43:00 PM,20-063910,CARRY CONCEALED WEAPON- UNLAWFUL POSSESS,08X,EB I580 CONN & W MACARTHUR BLVD,Oakland,CA,
BURG - AUTO,02/21/2021 02:50:00 PM,21-902365,BURGLARY-AUTO,77X,LENNOX & GRAND AVE,Oakland,CA,
PETTY THEFT,01/20/2021 12:00:00 AM,21-006750,THEFT,15X,200 ATHOL AV,Oakland,CA,
DOMESTIC VIOLENCE,12/28/2020 10:53:00 PM,20-063453,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,29X,7000 MACARTHUR BLVD,Oakland,CA,
ROBBERY,12/26/2020 09:45:00 AM,20-063063,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",77X,76TH AVE,Oakland,CA,
STOLEN VEHICLE,08/21/2020 01:45:00 PM,20-041798,VEHICLE THEFT - AUTO,03Y,400 8TH ST,Oakland,CA,
STOLEN VEHICLE,10/08/2020 01:00:00 AM,20-057060,VEHICLE THEFT - AUTO,08X,400 36TH ST,Oakland,CA,
STOLEN VEHICLE,12/30/2020 08:30:00 PM,20-063800,VEHICLE THEFT - AUTO,20X,2800 INTERNATIONAL BLVD,Oakland,CA,
WEAPONS,12/04/2020 08:30:00 AM,20-059376,SC BRANDISHING,20X,1500 FRUITVALE AV,Oakland,CA,
DOMESTIC VIOLENCE,01/03/2021 09:00:00 PM,20-000533,THEFT,27Y,2400 - 65TH AVE.,Oakland,CA,
,02/25/2021 12:00:00 PM,21-009147,THEFT,30X,7700 HOLLY ST,Oakland,CA,
NARCOTICS,01/23/2021 09:12:00 PM,21-003614,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,20X,2400 INTERNATIONAL BLVD,Oakland,CA,
BRANDISHING,01/16/2021 11:12:00 AM,21-002501,BATTERY,31Y,8900 SAN LEANDRO ST,Oakland,CA,
GRAND THEFT,12/24/2020 11:50:00 AM,20-921100,GRAND THEFT,04X,400 19TH ST,Oakland,CA,
STOLEN VEHICLE,01/09/2021 07:00:00 AM,21-001464,VEHICLE THEFT - AUTO,31Z,10700 RUSSETT ST,Oakland,CA,
OTHER,02/11/2021 10:24:00 AM,21-006716,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,07X,3400 MAGNOLIA ST,Oakland,CA,
WEAPONS,12/19/2020 12:51:00 PM,20-062066,CARRY CONCEALED WEAPON IN VEHICLE,27X,4500 FOOTHILL BLVD,Oakland,CA,
DOMESTIC VIOLENCE,01/20/2021 03:36:00 PM,21-003098,STALKING-MISD,35X,2300 98TH AV,Oakland,CA,
ROBBERY,12/28/2020 11:38:00 AM,20-063369,VANDALISM:DAMAGE PROPERTY,01X,400 OAK ST,Oakland,CA,
PETTY THEFT,01/15/2021 11:22:00 AM,21-901168,THEFT,20X,3000 E 9TH ST,Oakland,CA,
GRAND THEFT,01/12/2021 01:40:00 PM,21-900953,GRAND THEFT,22X,2000 LEIMERT BLVD,Oakland,CA,
FELONY ASSAULT,01/29/2021 11:57:00 AM,21-004475,ASSAULT WITH FIREARM ON PERSON,26Y,1200 70TH AV,Oakland,CA,
DISORDERLY CONDUCT,12/10/2020 07:00:00 PM,20-060749,DISTURB THE PEACE,08X,3000 BROADWAY,Oakland,CA,
,02/22/2021 02:36:00 AM,21-008434,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,06X,4000 MARTIN LUTHER KING JR W,Oakland,CA,
BURG - AUTO,12/02/2020 12:00:00 AM,20-059066,BURGLARY-AUTO,07X,3200 LINDEN ST,Oakland,CA,
STOLEN VEHICLE,12/07/2020 09:00:00 PM,20-060167,VEHICLE THEFT - AUTO,19X,1500 2ND AV,Oakland,CA,
DOMESTIC VIOLENCE,02/13/2021 03:32:00 PM,21-007092,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30X,7600 LOCKWOOD ST,Oakland,CA,
DOMESTIC VIOLENCE,12/25/2020 02:30:00 AM,20-062911,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,35X,9700 ELMVIEW DR,Oakland,CA,
FELONY ASSAULT,01/11/2021 05:09:00 PM,21-001782,VANDALISM-$400,02X,800 KIRKHAM WY,Oakland,CA,
VANDALISM,12/05/2020 03:15:00 PM,20-920324,VANDALISM,26Y,7100 SPENCER ST,Oakland,CA,
GRAND THEFT,11/30/2020 09:00:00 PM,20-058966,GRAND THEFT,30Y,7500 OUTLOOK AV,Oakland,CA,
ARSON,12/27/2020 03:50:00 PM,20-063254,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,08X,300 W MACARTHUR BLVD,Oakland,CA,
VANDALISM,01/27/2021 04:36:00 AM,21-901334,VANDALISM,09X,00 MONTE VISTA AV,Oakland,CA,
STOLEN VEHICLE,02/08/2021 12:00:00 PM,21-008043,VEHICLE THEFT - AUTO,04X,2100 SAN PABLO AV,Oakland,CA,
,02/18/2021 12:00:00 AM,21-902583,VANDALISM,14Y,500 VALLE VISTA AVE,Oakland,CA,
DISORDERLY CONDUCT,01/24/2021 11:29:00 PM,21-003765,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,24Y,3400 DAVIS ST,Oakland,CA,
PETTY THEFT,02/08/2021 12:00:00 PM,21-006772,THEFT,29X,5700 MORSE DR,Oakland,CA,
DISORDERLY CONDUCT,02/15/2021 03:40:00 PM,21-007398,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,35X,2700 ALVINGROOM CT,Oakland,CA,
BURG - RESIDENTIAL,09/19/2020 09:35:00 PM,21-900532,BURGLARY-FORCIBLE ENTRY,12Y,5600 OAK GROVE AV,Oakland,CA,
BRANDISHING,02/16/2021 02:00:00 PM,21-007552,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,28X,4400 VIRGINIA AV,Oakland,CA,
THREATS,12/27/2020 09:28:00 AM,20-063211,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,03Y,400 7TH ST,Oakland,CA,
WEAPONS,01/08/2021 03:00:00 PM,21-001207,CARRY CONCEALED WEAPON ON PERSON,25X,4400 MACARTHUR BLVD,Oakland,CA,
ROBBERY,12/17/2020 10:33:00 AM,20-061654,ROBBERY-FIREARM,29X,5500 LAVERNE AV,Oakland,CA,
OTHER,08/11/2020 12:50:00 PM,21-900033,MAIL/ETC THEFT/ETC,29X,6000 MORSE DR,Oakland,CA,
OTHER,01/04/2021 02:58:00 PM,21-000798,RELEASED FROM CUSTODY ON BAIL OR ON HIS OR HER OWN RECOGNIZANCE PRIOR TO THE JUDGMENT BECOMING FINAL,99X,2200 DAVIS ST,Oakland,CA,
DOMESTIC VIOLENCE,01/06/2021 12:15:00 PM,21-000837,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,29X,2900 62ND AV,Oakland,CA,
WEAPONS,12/15/2020 06:34:00 PM,20-061405,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,30Y,6600 BANCROFT AV,Oakland,CA,
DOMESTIC VIOLENCE,01/10/2021 12:36:00 AM,21-001512,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,18Y,1800 E 25TH ST,Oakland,CA,
BURG - AUTO,12/01/2020 03:59:00 PM,20-058904,BURGLARY-AUTO,04X,2100 WEBSTER ST,Oakland,CA,
RECOVERED O/S STOLEN,01/22/2021 07:43:00 AM,21-003337,POSS STOLEN VEH/VES/ETC,23X,4000 ALAMEDA AV,Oakland,CA,
OTHER,12/30/2020 02:00:00 PM,20-060173,MFG/SALE/POSSESS/ETC LARGE CAPACITY MAGAZINE,99X,1000 47TH ST,Oakland,CA,
THREATS,12/21/2020 01:09:00 PM,20-062101,THREAT CRIME:INT:TERRORIZE,25X,4300 39TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,01/06/2021 05:50:00 AM,21-000959,EXHIBIT FIREARM,31Z,10400 PEARMAIN ST,Oakland,CA,
STOLEN VEHICLE,12/19/2020 08:00:00 AM,20-061961,VEHICLE THEFT - AUTO,30X,2600 68TH AV,Oakland,CA,
MISDEMEANOR ASSAULT,12/19/2020 01:50:00 PM,20-062082,BATTERY,04X,500 16TH ST,Oakland,CA,
HOMICIDE,12/31/2020 03:00:00 AM,20-063786,SC UNEXPLAINED DEATH,30X,7800 ALDER ST,Oakland,CA,
DOMESTIC VIOLENCE,01/29/2021 08:00:00 PM,21-005100,DRIV:LIC SUS/ETC:UI/RFUSL,35X,2300 84TH AV,Oakland,CA,
THREATS,01/22/2021 09:58:00 AM,21-003395,VANDALISM:DAMAGE PROPERTY,06X,2700 SAN PABLO AV,Oakland,CA,
HOMICIDE,02/14/2021 06:54:00 PM,21-007263,MURDER:FIRST DEGREE,09X,3700 BROADWAY,Oakland,CA,
BURG - AUTO,02/05/2021 08:58:00 AM,21-901726,BURGLARY-AUTO,31X,200 HEGENBERGER RD,Oakland,CA,
VANDALISM,01/30/2021 11:00:00 AM,21-901488,VANDALISM,22Y,REDWOOD RD & SKYLINE BLVD,Oakland,CA,
FELONY ASSAULT,12/04/2020 03:20:00 PM,20-059451,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,02X,1200 8TH ST,Oakland,CA,
MISDEMEANOR ASSAULT,02/05/2021 08:00:00 PM,21-005793,BATTERY,07X,3000 ADELINE ST,Oakland,CA,
VANDALISM,12/01/2020 06:30:00 PM,20-059162,VANDALISM-$400+,04X,1800 CASTRO ST,Oakland,CA,
MISDEMEANOR ASSAULT,12/12/2020 11:32:00 AM,20-060864,BATTERY,21X,2300 E 29TH ST,Oakland,CA,
HOMICIDE,12/01/2020 05:39:00 AM,20-058818,SC UNEXPLAINED DEATH,32X,1800 99TH AV,Oakland,CA,
VANDALISM,02/05/2021 05:24:00 AM,21-005704,VANDALISM,32X,1400 102ND AV,Oakland,CA,
BURG - AUTO,02/18/2021 08:15:00 AM,21-902293,BURGLARY-AUTO,04X,300 LAKESIDE DR,Oakland,CA,
ROBBERY,12/15/2020 11:53:00 AM,20-061349,ROBBERY-FIREARM,17X,1200 E 21ST ST,Oakland,CA,
PETTY THEFT,12/16/2020 12:51:00 PM,20-921294,MAIL/ETC THEFT/ETC,05X,2100 LINDEN ST,Oakland,CA,
FELONY ASSAULT,01/07/2021 06:02:00 PM,21-001069,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,19X,2200 INTERNATIONAL BLVD,Oakland,CA,
GRAND THEFT,12/28/2020 07:42:00 PM,20-063427,GRAND THEFT,29X,5800 FOOTHILL BLVD,Oakland,CA,
FELONY ASSAULT,02/06/2021 05:00:00 PM,21-005914,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,19X,1000 E 12TH ST,Oakland,CA,
STOLEN VEHICLE,01/08/2021 01:30:00 AM,21-001119,ATTEMPT VEHICLE THEFT-AUTO,31Z,10400 SAN LEANDRO ST,Oakland,CA,
ROBBERY,12/29/2020 02:30:00 AM,20-063843,ROBBERY/INHABITED DWELLING - OTHER DANGEROUS INSTRUMENT,07X,800 ISABELLA ST,Oakland,CA,
BURG - AUTO,01/19/2021 02:30:00 AM,21-900900,BURGLARY-AUTO,12Y,5100 CLARKE ST,Oakland,CA,
DOMESTIC VIOLENCE,02/06/2021 07:00:00 AM,21-006785,SC KIDNAPPING,32Y,2600 109TH AV,Oakland,CA,
WEAPONS,01/07/2021 11:47:00 AM,21-001012,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,10X,1000 67TH ST,Oakland,CA,
PETTY THEFT,01/08/2021 07:00:00 AM,21-001738,THEFT,33X,1000 85TH AV,Oakland,CA,
ROBBERY,12/02/2019 07:44:00 AM,19-062727,ROBBERY-FIREARM,23X,3200 INTERNATIONAL BLVD,Oakland,CA,
DOMESTIC VIOLENCE,12/20/2020 12:12:00 AM,20-062149,STALKING-FEL,13Z,6000 ASPINWALL RD,Oakland,CA,
BURG - AUTO,01/26/2021 03:00:00 AM,21-004713,BURGLARY-AUTO,34X,1400 83RD AV,Oakland,CA,
VANDALISM,01/08/2021 07:00:00 PM,21-001231,VANDALISM,01X,400 EMBARCADERO WEST,Oakland,CA,
DISORDERLY CONDUCT,01/04/2021 12:59:00 PM,21-000519,DISTURB THE PEACE,34X,9300 INTERNATIONAL BLVD,Oakland,CA,
MISDEMEANOR ASSAULT,02/05/2021 02:25:00 PM,21-005758,BATTERY,08X,32ND ST & TELEGRAPH AV,Oakland,CA,
,01/02/2021 09:29:00 AM,21-000191,VEHICLE THEFT - AUTO,14X,300 EUCLID AVE,Oakland,CA,
FELONY ASSAULT,12/02/2020 09:47:00 PM,20-059130,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,77X,800 ELLINGTON WY,Oakland,CA,
ROBBERY,01/13/2021 08:32:00 PM,21-002118,ATTEMPTED ROBBERY-FIREARM,18Y,2400 21ST AV,Oakland,CA,
FELONY ASSAULT,02/23/2021 08:00:00 PM,21-008752,ASSAULT WITH FIREARM ON PERSON,19X,1100 E 8TH ST,Oakland,CA,
VANDALISM,02/18/2021 04:30:00 PM,21-008031,BATTERY,27X,1400 HIGH ST,Oakland,CA,
STOLEN VEHICLE,08/22/2020 06:00:00 PM,20-041802,VEHICLE THEFT - AUTO,13Z,1800 DRAKE DR,Oakland,CA,
THREATS,01/26/2021 03:15:00 PM,21-004139,THREAT CRIME:INT:TERRORIZE,04X,1900 HARRISON ST,Oakland,CA,
DOMESTIC VIOLENCE,12/30/2020 03:25:00 PM,20-063719,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,31Y,98TH AV & BIGGE AV,Oakland,CA,
PETTY THEFT,01/11/2021 01:45:00 PM,21-001770,THEFT,12X,4400 TELEGRAPH AV,Oakland,CA,
VANDALISM,01/13/2021 04:15:00 PM,21-002088,VANDALISM:DAMAGE PROPERTY,22X,3500 FRUITVALE AV,Oakland,CA,
BURG - AUTO,01/11/2021 03:30:00 PM,21-900527,BURGLARY-AUTO,03X,11TH ST & BROADWAY,Oakland,CA,
VANDALISM,01/24/2021 12:00:00 AM,21-901225,VANDALISM,09X,200 RIDGEWAY AV,Oakland,CA,
BURG - AUTO,01/18/2021 01:25:00 PM,21-900985,BURGLARY-AUTO,04X,2200 BROADWAY,Oakland,CA,
OTHER,12/05/2020 11:30:00 AM,20-059657,CRIMINAL CONTEMPT,04X,1500 JACKSON ST,Oakland,CA,
FORCIBLE RAPE,02/09/2021 12:00:00 AM,21-006447,RAPE BY FORCE/FEAR/ETC,08X,W MACARTHUR BLVD & WEBSTER ST,Oakland,CA,
BURG - AUTO,02/13/2021 02:45:00 PM,21-902076,BURGLARY-AUTO,04X,500 WILLIAM ST,Oakland,CA,
THREATS,01/10/2021 05:30:00 PM,21-002334,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30Y,2700 RITCHIE ST,Oakland,CA,
,02/20/2021 06:43:00 AM,21-902447,MAIL/ETC THEFT/ETC,15X,2100 LAKESHORE AVE,Oakland,CA,
STOLEN VEHICLE,12/10/2020 09:00:00 PM,20-060682,VEHICLE THEFT - AUTO,29X,2900 62ND AV,Oakland,CA,
BURG - OTHER,12/31/2020 12:30:00 PM,21-900046,BURGLARY-NO FORCE,07X,2400 MANDELA PKWY,Oakland,CA,
FORGERY & COUNTERFEITING,06/28/2020 12:00:00 AM,20-920104,THEFT BY USE OF ACCESS CARD,23X,600 HIGH ST,Oakland,CA,
RECOVERED O/S STOLEN,01/01/2021 04:37:00 PM,21-000111,VEHICLE THEFT - AUTO,21X,2300 FOOTHILL BLVD,Oakland,CA,
FELONY ASSAULT,02/13/2021 01:37:00 AM,21-007010,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,34X,1700 98TH AV,Oakland,CA,
